Wban Number, YearMonthDay, Time, Station Type, Maintenance Indicator, Sky Conditions, Visibility, Weather Type, Dry Bulb Temp, Dew Point Temp, Wet Bulb Temp, % Relative Humidity, Wind Speed (kt), Wind Direction, Wind Char. Gusts (kt), Val for Wind Char., Station Pressure, Pressure Tendency, Sea Level Pressure, Record Type, Precip. Total
14732,20070401,0053,AO2,,CLR,10,,52,45,49,78,7,270,,,29.9,,29.9,AA,0
14732,20070401,0153,AO2,,CLR,10,,51,44,48,79,6,260,,,29.9,,29.9,AA,0
14732,20070401,1253,AO2,,FEW,10,,64,42,55,52,12,250,,,29.85,,29.85,AA,0
14732,20070401,1353,AO2,,FEW,10,,66,42,56,49,13,250,,,29.84,,29.84,AA,0
14732,20070402,0053,AO2,,CLR,10,,50,43,47,80,5,280,,,29.92,,29.92,AA,0
14732,20070402,1253,AO2,,SCT,10,,62,41,54,55,10,260,,,29.88,,29.88,AA,0
14732,20070402,1353,AO2,,SCT,10,,63,M,M,M,11,260,,,29.87,,29.87,AA,0
99999,20070401,0053,AO2,,CLR,10,,58,46,52,63,9,300,,,29.8,,29.8,AA,0
99999,20070401,1253,AO2,,FEW,10,,71,44,59,44,15,290,,,29.78,,29.78,AA,0
99999,20070402,0053,AO2,,CLR,10,,57,45,51,64,8,300,,,29.82,,29.82,AA,0
99999,20070402,1253,AO2,,BKN,8,,68,45,58,48,18,280,,,29.79,,29.79,AA,0.02
